date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST,score,basket,average-5-periods-return,5-periods-winning,average-10-periods-return,10-periods-winning,average-20-periods-return,20-periods-winning
1999-11-10,sh.600000,2.3111775,2.334681,2.115315,2.17407375,0.78345,174085055,4859102435.0,2,54.40158,1,177.5,0,,,,,,,,
1999-11-11,sh.600000,2.1607551,2.2234311,2.15683785,2.17093995,2.17407375,29403491,821582199.0,2,9.188591,1,-0.144147,0,-0.1068138158176979,2.0,-0.02490075784915191,false,-0.04727535185853493,false,-0.08480692890653196,false
1999-11-12,sh.600000,2.1826917,2.2171635,2.17564065,2.19757725,2.17093995,15007963,421591623.0,2,4.689988,1,1.226995,0,0.1026925098967728,3.0,-0.0417112299465241,false,-0.057040998217469,false,-0.07415329768270962,false
1999-11-15,sh.600000,2.209329,2.21324625,2.1701565,2.17407375,2.19757725,11921071,332952812.0,2,3.725335,1,-1.069516,0,-0.08708623781109492,2.0,-0.04684684684684681,false,-0.05117117117117109,false,-0.06594594594594583,false
1999-11-16,sh.600000,2.1842586,2.19130965,2.0745756,2.08005975,2.17407375,23223120,628908296.0,2,7.257225,1,-4.324327,0,-0.35233368489414685,1.0,-0.0037664783427496795,false,-0.005649717514124353,false,-0.020715630885122405,false
1999-11-17,sh.600000,2.0761425,2.1294171,2.06595765,2.1294171,2.08005975,10052566,268995055.0,2,3.141427,1,2.372885,0,-0.22481534589704533,2.0,-0.02759381898454749,false,-0.021339220014716664,false,-0.026857983811626296,false
1999-11-18,sh.600000,2.130984,2.1607551,2.0980791,2.1168819,2.1294171,8446529,229577879.0,2,2.63954,1,-0.588668,0,-0.2988664502514621,1.0,-0.022945965951147285,false,-0.02812731310140637,false,-0.03774981495188745,false
1999-11-19,sh.600000,2.1544875,2.15683785,2.099646,2.1059136,2.1168819,5374994,145887121.0,2,1.679686,1,-0.518139,0,-0.3146832611897208,1.0,-0.015997023809523947,false,-0.019345238095238138,false,-0.04836309523809523,false
1999-11-22,sh.600000,2.1059136,2.11139775,2.0604735,2.07222525,2.1059136,5535421,147086153.0,2,1.729819,1,-1.599697,0,-0.3463702390325607,1.0,-0.004536862003780562,false,-0.029867674858222837,false,-0.045746691871455414,false
1999-11-23,sh.600000,2.07222525,2.08005975,2.0448045,2.07222525,2.07222525,3843966,101224493.0,2,1.201239,1,0.0,0,-0.3200309435246058,1.0,-0.001890359168241873,false,-0.032136105860113395,false,-0.04914933837429103,false
