date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST,top10_ratio,decay,modified_turn,score,basket,average-5-periods-return,5-periods-winning,average-10-periods-return,10-periods-winning,average-20-periods-return,20-periods-winning
2018-07-20,sh.601869,29.421291,35.305549,29.421291,35.305549,24.519273,57621,2215463.0,2,0.076027,1,43.99102,0,0.0,1.0,0.076027,,,,,,,,
2018-07-23,sh.601869,38.839776,38.839776,38.839776,38.839776,35.305549,30506,1290709.0,2,0.04025,1,10.01041,0,0.0,1.0,0.04025,-0.15852309371519716,2.0,0.610257638972995,true,0.12762941784216264,true,0.1751358967672727,true
2018-07-24,sh.601869,42.722836,42.722836,42.722836,42.722836,38.839776,49544,2305778.0,2,0.06537,1,9.997635,0,0.0,1.0,0.06537,-0.11559955506375665,2.0,0.3175762723242437,true,0.05199828026397868,true,0.07735280026822178,true
2018-07-25,sh.601869,46.991447,46.991447,46.991447,46.991447,42.722836,130214,6665655.0,2,0.171808,1,9.9914,0,0.0,1.0,0.171808,-0.07935384350490342,2.0,0.1459269385767159,true,-0.13557335231664602,false,-0.0668099239421166,false
2018-07-26,sh.601869,51.69151,51.69151,51.69151,51.69151,46.991447,220755,12430714.0,2,0.29127,1,10.00196,0,0.0,1.0,0.29127,0.07687245677558574,2.0,-0.013496703810741861,false,-0.1784762913677701,false,-0.12342390462186148,false
2018-07-27,sh.601869,56.859743,56.859743,56.859743,56.859743,51.69151,353075,21869466.0,2,0.465856,1,9.998219,0,0.0,1.0,0.465856,0.20817740874094942,3.0,-0.1654827212286204,false,-0.23974814659292432,false,-0.21456247172977905,false
2018-07-30,sh.601869,62.542046,62.542046,62.542046,62.542046,56.859743,731074,49808072.0,2,0.964598,1,9.993541,0,0.0,1.0,0.964598,0.1301087318983301,2.0,-0.2997211188134139,false,-0.2552473259349398,false,-0.24247762857006627,false
2018-07-31,sh.601869,68.793496,68.793496,56.290595,56.290595,62.542046,36666513,2386906668.0,2,48.378765,1,-9.995593,0,0.0,1.0,48.378765,-0.2579328891916747,2.0,-0.20156555460108394,false,-0.19275930552874787,false,-0.1505218589357601,false
2018-08-01,sh.601869,54.160879,54.629049,52.058703,53.848765,56.290595,27876817,1620339852.0,2,36.781408,1,-4.337899,0,0.0,1.0,36.781408,-0.09792889193719508,2.0,-0.24565291330265415,false,-0.16041595382921048,false,-0.08949880280448408,false
2018-08-02,sh.601869,52.783907,53.573371,49.736211,50.993845,53.848765,20256358,1141046017.0,2,26.726774,1,-5.30174,0,0.0,1.0,26.726774,-0.298,2.0,-0.16723673219777802,false,-0.09216922159919494,false,-0.0520252199064416,false
2018-08-03,sh.601869,50.562393,51.149901,47.35864,47.450438,50.993845,17709358,940470367.0,2,23.366195,1,-6.948696,0,0.0,1.0,23.366195,-0.518,0.0,-0.08899207632182449,false,-0.07931901492669047,false,-0.015283420566107209,false
2018-08-06,sh.601869,46.413119,46.449839,43.750974,43.796874,47.450438,15523830,763555458.0,2,20.482551,1,-7.699748,0,0.0,1.0,20.482551,-0.518,0.0,0.06350868785749397,true,0.042129513626931514,true,0.025780744077762208,true
