date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST,top10_ratio,decay,modified_turn,score,basket,average-5-periods-return,5-periods-winning,average-10-periods-return,10-periods-winning,average-20-periods-return,20-periods-winning,score_raw,basket_raw,average-5-periods-return_raw,5-periods-winning_raw,average-10-periods-return_raw,10-periods-winning_raw,average-20-periods-return_raw,20-periods-winning_raw,score_adj,basket_adj,average-5-periods-return_adj,5-periods-winning_adj,average-10-periods-return_adj,10-periods-winning_adj,average-20-periods-return_adj,20-periods-winning_adj
2010-04-09,sz.002384,7.649098,9.178918,7.649098,9.174961,3.428906,26838888,1673859396.17,2,83.871525,1,167.5769,0,0.0,1.0,83.871525,,,,,,,,,,,,,,,,,,,,,,,,
2010-04-12,sz.002384,8.701508,9.226395,8.6448,8.754261,9.174961,17221501,1160265514.36,2,53.817191,1,-4.5853,0,0.0,1.0,53.817191,-0.033323639613818,2.0,-0.2003616296109973,False,-0.1141910208068961,False,-0.186652648350329,False,-0.033323639613818005,2.0,-0.20036162961099735,false,-0.11419102080689614,false,-0.18665264835032902,false,-0.033323639613818005,2.0,-0.20036162961099735,false,-0.11419102080689614,false,-0.18665264835032902,false
2010-04-13,sz.002384,8.727885,9.031211,7.878571,7.886484,8.754261,12008856,753334962.83,2,37.527675,1,-9.9126,0,0.0,1.0,37.527675,-0.3390517018022745,1.0,-0.0777592397321798,False,-0.0568562619286364,False,-0.1874581879580305,False,-0.3390517018022745,1.0,-0.0777592397321798,false,-0.056856261928636465,false,-0.1874581879580305,false,-0.3390517018022745,1.0,-0.0777592397321798,false,-0.056856261928636465,false,-0.1874581879580305,false
2010-04-14,sz.002384,7.649098,7.782298,7.457871,7.459189,7.886484,7248529,418581549.33,2,22.651653,1,-5.4181,0,0.0,1.0,22.651653,-0.4283988941774156,1.0,0.0190948372537549,True,0.0284654270055362,True,-0.1451555926522307,False,-0.4283988941774156,1.0,0.019094837253754937,true,0.028465427005536226,true,-0.14515559265223077,false,-0.4283988941774156,1.0,0.019094837253754937,true,0.028465427005536226,true,-0.14515559265223077,false
2010-04-15,sz.002384,7.4249,7.633272,7.055633,7.120255,7.459189,6153363,342771753.77,2,19.229259,1,-4.5438,0,0.0,1.0,19.229259,-0.5863067203563798,0.0,0.0927949911906245,True,0.0992776241862123,True,-0.0883496447809804,False,-0.5863067203563798,0.0,0.09279499119062451,true,0.09927762418621233,true,-0.0883496447809804,false,-0.5863067203563798,0.0,0.09279499119062451,true,0.09927762418621233,true,-0.0883496447809804,false
2010-04-16,sz.002384,7.022663,7.042445,6.600644,6.923752,7.120255,4946660,256246195.53,2,15.458312,1,-2.7598,0,0.0,1.0,15.458312,-0.518,0.0,0.0893333556718958,True,0.1281906111021884,True,-0.0952379576853705,False,-0.518,0.0,0.08933335567189582,true,0.12819061110218843,true,-0.09523795768537058,false,-0.518,0.0,0.08933335567189582,true,0.12819061110218843,true,-0.09523795768537058,false
2010-04-19,sz.002384,6.786596,7.09256,6.72725,7.000243,6.923752,3466360,183359304.09,2,10.832375,1,1.1048,0,0.0,1.0,10.832375,-0.4479999999999999,1.0,0.1077619734057804,True,0.0923135096881637,True,-0.114544023686035,False,-0.44799999999999995,1.0,0.10776197340578042,true,0.09231350968816376,true,-0.114544023686035,false,-0.44799999999999995,1.0,0.10776197340578042,true,0.09231350968816376,true,-0.114544023686035,false
2010-04-20,sz.002384,7.001562,7.298295,6.890782,7.273237,7.000243,4280659,233310120.87,2,13.377059,1,3.8998,0,0.0,1.0,13.377059,-0.3279999999999999,1.0,0.0226654239370998,True,0.0933816676123711,True,-0.1309157119450391,False,-0.32799999999999996,1.0,0.022665423937099805,true,0.0933816676123711,true,-0.13091571194503915,false,-0.32799999999999996,1.0,0.022665423937099805,true,0.0933816676123711,true,-0.13091571194503915,false
2010-04-21,sz.002384,7.275875,7.622722,7.190152,7.601621,7.273237,4349656,248136986.72,2,13.592675,1,4.515,0,0.0,1.0,13.592675,-0.1788672080206653,2.0,0.0091950124848372,True,0.0229007734008312,True,-0.1793893697146963,False,-0.17886720802066536,2.0,0.009195012484837228,true,0.022900773400831298,true,-0.17938936971469632,false,-0.17886720802066536,2.0,0.009195012484837228,true,0.022900773400831298,true,-0.17938936971469632,false
2010-04-22,sz.002384,7.634591,7.806036,7.517217,7.780979,7.601621,4331532,252742603.33,2,13.536038,1,2.3595,0,0.0,1.0,13.536038,-0.1280740610002362,2.0,0.005932158408344,True,-0.0762712506999441,False,-0.1823729379040864,False,-0.12807406100023624,2.0,0.005932158408344046,true,-0.07627125069994412,false,-0.18237293790408649,false,-0.12807406100023624,2.0,0.005932158408344046,true,-0.07627125069994412,false,-0.18237293790408649,false
