date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST,top10_ratio,decay,modified_turn,score,basket,average-5-periods-return,5-periods-winning,average-10-periods-return,10-periods-winning,average-20-periods-return,20-periods-winning
2001-08-23,sh.600498,11.73417,11.73417,10.200905,10.592044,8.213919,52992469,1449170425.0,2,60.218715,1,28.95238,0,0.0,1.0,60.218715,,,,,,,,
2001-08-24,sh.600498,10.560753,10.697652,10.122677,10.165703,10.592044,10067976,267641043.0,2,11.440882,1,-4.025111,0,0.0,1.0,11.440882,-0.3316008609104457,1.0,0.057329729188428935,true,0.06387064426336275,true,0.08580223128690645,true
2001-08-27,sh.600498,10.169614,10.818905,10.1305,10.564664,10.165703,10646909,287497570.0,2,12.09876,1,3.924588,0,0.0,1.0,12.09876,-0.029400330880864745,2.0,0.008515367833752174,true,0.07219548108676244,true,0.051462498002776025,true
2001-08-28,sh.600498,10.502082,11.018386,10.447323,10.951892,10.564664,8687511,240428298.0,2,9.872172,1,3.665308,0,0.0,1.0,9.872172,0.1269684132304949,3.0,0.03750000456542124,true,0.024999972607472554,true,0.014285750809083897,true
2001-08-29,sh.600498,10.983183,11.061411,10.760234,10.783702,10.951892,5219915,145502117.0,2,5.931722,1,-1.535715,0,0.0,1.0,5.931722,0.03331706915610184,2.0,0.054769688554079154,true,0.03373238615087848,true,0.02466453542577507,true
2001-08-30,sh.600498,10.756322,10.983183,10.709386,10.803259,10.783702,2493194,69281316.0,2,2.833175,1,0.181361,0,0.0,1.0,2.833175,0.13300339773569264,3.0,0.043446796934147436,true,0.03584362829771992,true,0.0336712282839835,true
2001-08-31,sh.600498,10.795436,10.932335,10.658538,10.7485,10.803259,2274243,62499809.0,2,2.584367,1,-0.506884,0,0.0,1.0,2.584367,0.20954673248816352,3.0,0.006186258547704382,true,0.030203749360375953,true,0.04767102386379496,true
2001-09-03,sh.600498,10.7485,10.86193,10.60769,10.654626,10.7485,1412920,38669192.0,2,1.605591,1,-0.873362,0,0.0,1.0,1.605591,0.10487172604985018,3.0,0.06314243221676663,true,0.027900181573712768,true,0.05433189301998942,true
2001-09-04,sh.600498,10.638981,11.710702,10.638981,11.362588,10.654626,13452581,388910820.0,2,15.287024,1,6.644639,0,0.0,1.0,15.287024,0.2595193587003698,4.0,-0.012048223520909285,false,-0.027194508856609123,false,0.012048223520909174,true
2001-09-05,sh.600498,11.370411,11.577714,11.288272,11.374322,11.362588,7924995,231352145.0,2,9.005676,1,0.103273,0,0.0,1.0,9.005676,0.2593407144558949,4.0,-0.01994492506894019,false,0.0010316219287620498,true,-0.026822521817124523,false
2001-09-06,sh.600498,11.421259,11.511221,11.147462,11.272626,11.374322,3642704,105146643.0,2,4.139436,1,-0.894086,0,0.0,1.0,4.139436,0.22747467445381359,3.0,-0.0072865896553298,false,-0.014573179310659379,false,-0.024635697130375944,false
2001-09-07,sh.600498,11.190487,11.296094,10.799348,10.814993,11.272626,5735734,160875477.0,2,6.51788,1,-4.059681,0,0.0,1.0,6.51788,0.1796376391298378,3.0,0.023869825898176877,true,0.02061490007436917,true,0.008318267057593198,true
2001-09-10,sh.600498,10.588133,11.460373,10.588133,11.327385,10.814993,6447668,185085712.0,2,7.326895,1,4.737792,0,0.0,1.0,7.326895,0.22227911369172748,3.0,-0.033149133714445056,false,-0.019336943169142806,false,-0.06422647415974647,false
2001-09-11,sh.600498,11.366499,11.491664,11.186575,11.225689,11.327385,3527387,102270739.0,2,4.008394,1,-0.897784,0,0.0,1.0,4.008394,0.1969098691047665,3.0,-0.015330996609651315,false,-0.010452899594848852,false,-0.09442502816530896,false
2001-09-12,sh.600498,10.951892,11.303917,10.756322,11.147462,11.225689,4238450,120043606.0,2,4.81642,1,-0.696867,0,0.0,1.0,4.81642,0.24318609212390133,4.0,0.021403436943763454,true,-0.008771951857741267,false,-0.11719304358247662,false
2001-09-13,sh.600498,11.167018,11.417347,11.112259,11.190487,11.147462,2624485,75721239.0,2,2.982369,1,0.385967,0,0.0,1.0,2.982369,0.22516271907109786,3.0,-0.007340073760864874,false,-0.002097227761401199,false,-0.13037404002167186,false
2001-09-14,sh.600498,11.213955,11.303917,10.998829,11.073145,11.190487,1310410,37136085.0,2,1.489102,1,-1.048588,0,0.0,1.0,1.489102,0.2992857137655,4.0,-0.00317904262971358,false,0.016955164950878787,true,-0.155775346570464,false
2001-09-17,sh.600498,11.03012,11.100525,10.873664,10.951892,11.073145,1801594,50510933.0,2,2.047266,1,-1.095018,0,0.0,1.0,2.047266,0.20283389715733918,3.0,0.014285750809083897,true,0.0257142784096116,true,-0.1807142546694216,false
2001-09-18,sh.600498,10.881487,11.264803,10.881487,11.053588,10.951892,1357655,38367951.0,2,1.54279,1,0.928572,0,0.0,1.0,1.54279,0.3023441741914838,4.0,0.004954047500232539,true,0.04033975212392571,true,-0.1072186696301689,false
2001-09-19,sh.600498,11.100525,11.569892,10.940158,11.386056,11.053588,3061995,88589258.0,2,3.47954,1,3.007786,0,0.0,1.0,3.47954,0.20607312871505293,3.0,-0.029543065658556356,false,-0.027825438413441872,false,-0.05496389619021713,false
2001-09-20,sh.600498,11.436904,11.47993,11.088791,11.108348,11.386056,2410867,69596998.0,2,2.739622,1,-2.439028,0,0.0,1.0,2.739622,0.17706912912613756,3.0,0.0052816134316282515,true,-0.010211329353383647,false,-0.047535241063747624,false
2001-09-21,sh.600498,11.069234,11.225689,10.951892,11.037943,11.108348,2696737,76058247.0,2,3.064474,1,-0.633804,0,0.0,1.0,3.064474,0.2892950555168749,4.0,0.02019841921633403,true,-0.012048259354120683,false,-0.03791639438616412,false
2001-09-24,sh.600498,11.108348,11.264803,11.041854,11.108348,11.037943,963651,27504241.0,2,1.095058,1,0.637847,0,0.0,1.0,1.095058,0.29979418815167314,4.0,0.011267562017322375,true,-0.04577467324574269,false,-0.045070428114063366,false
