date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST,top10_ratio,decay,modified_turn
2002-11-20,sh.600522,1.891385,1.891385,1.840068,1.853264,1.903115,5458016,69265951.000000,2,7.797166,1,-2.620000,0,0.000000,1.000000,7.797166
2002-11-21,sh.600522,1.847399,1.917777,1.829805,1.889919,1.853264,10016531,128583729.000000,2,14.309330,1,1.980000,0,0.000000,1.000000,14.309330
2002-11-22,sh.600522,1.903115,1.967627,1.854730,1.881122,1.889919,12155178,158912735.000000,2,17.364540,1,-0.470000,0,0.000000,1.000000,17.364540
2002-11-25,sh.600522,1.869392,1.873791,1.806346,1.818076,1.881122,7000773,87547368.000000,2,10.001104,1,-3.350000,0,0.000000,1.000000,10.001104
2002-11-26,sh.600522,1.818076,1.818076,1.818076,1.818076,1.818076,0,0.000000,2,,0,0.000000,0,,,
2002-11-27,sh.600522,1.700780,1.740368,1.636268,1.683186,1.818076,8402759,96241805.000000,2,12.003941,1,-7.420000,0,0.000000,1.000000,12.003941
2002-11-28,sh.600522,1.668524,1.787286,1.643599,1.779955,1.683186,6540515,76522165.000000,2,9.343593,1,5.750000,0,0.000000,1.000000,9.343593
2002-11-29,sh.600522,1.774090,1.823940,1.743300,1.778488,1.779955,9343373,113802398.000000,2,13.347676,1,-0.080000,0,0.000000,1.000000,13.347676
2002-12-02,sh.600522,1.759428,1.765293,1.689051,1.693449,1.778488,3229537,38111454.000000,2,4.613624,1,-4.780000,0,0.000000,1.000000,4.613624
2002-12-03,sh.600522,1.686119,1.719841,1.683186,1.716908,1.693449,1901743,22131881.000000,2,2.716776,1,1.390000,0,0.000000,1.000000,2.716776
2002-12-04,sh.600522,1.725706,1.781421,1.702247,1.724239,1.716908,3125678,37193867.000000,2,4.465254,1,0.430000,0,0.000000,1.000000,4.465254
2002-12-05,sh.600522,1.715442,1.734503,1.687585,1.718375,1.724239,1743649,20316505.000000,2,2.490927,1,-0.340000,0,0.000000,1.000000,2.490927
2002-12-06,sh.600522,1.725706,1.743300,1.700780,1.713976,1.718375,1180527,13867028.000000,2,1.686467,1,-0.260000,0,0.000000,1.000000,1.686467
2002-12-09,sh.600522,1.705179,1.725706,1.669990,1.686119,1.713976,1737552,20038794.000000,2,2.482217,1,-1.630000,0,0.000000,1.000000,2.482217
2002-12-10,sh.600522,1.671457,1.699314,1.647998,1.649464,1.686119,1692577,19262035.000000,2,2.417967,1,-2.170000,0,0.000000,1.000000,2.417967
2002-12-11,sh.600522,1.642133,1.680254,1.637734,1.678788,1.649464,1702558,19254388.000000,2,2.432226,1,1.780000,0,0.000000,1.000000,2.432226
2002-12-12,sh.600522,1.671457,1.715442,1.668524,1.678788,1.678788,1585025,18296107.000000,2,2.264321,1,0.000000,0,0.000000,1.000000,2.264321
2002-12-13,sh.600522,1.656795,1.703713,1.642133,1.690517,1.678788,1524977,17410833.000000,2,2.178539,1,0.700000,0,0.000000,1.000000,2.178539
2002-12-16,sh.600522,1.712510,1.712510,1.686119,1.702247,1.690517,1327704,15385553.000000,2,1.896720,1,0.690000,0,0.000000,1.000000,1.896720
2002-12-17,sh.600522,1.694916,1.713976,1.689051,1.703713,1.702247,1200771,13924475.000000,2,1.715387,1,0.090000,0,0.000000,1.000000,1.715387
2002-12-18,sh.600522,1.703713,1.735969,1.686119,1.696382,1.703713,1580588,18466155.000000,2,2.257983,1,-0.430000,0,0.000000,1.000000,2.257983
2002-12-19,sh.600522,1.693449,1.705179,1.672923,1.684652,1.696382,1000842,11492440.000000,2,1.429774,1,-0.690000,0,0.000000,1.000000,1.429774
2002-12-20,sh.600522,1.684652,1.721307,1.674389,1.708111,1.684652,1386691,16115646.000000,2,1.980987,1,1.390000,0,0.000000,1.000000,1.980987
2002-12-23,sh.600522,1.708111,1.727172,1.697848,1.700780,1.708111,1132759,13226251.000000,2,1.618227,1,-0.430000,0,0.000000,1.000000,1.618227
2002-12-24,sh.600522,1.700780,1.730104,1.696382,1.730104,1.700780,1512450,17720740.000000,2,2.160643,1,1.720000,0,0.000000,1.000000,2.160643
2002-12-25,sh.600522,1.730104,1.740368,1.706645,1.709578,1.730104,1049665,12305562.000000,2,1.499521,1,-1.190000,0,0.000000,1.000000,1.499521
2002-12-26,sh.600522,1.702247,1.702247,1.642133,1.643599,1.709578,1964770,22345858.000000,2,2.806814,1,-3.860000,0,0.000000,1.000000,2.806814
2002-12-27,sh.600522,1.639200,1.671457,1.634802,1.645065,1.643599,1748672,19663328.000000,2,2.498103,1,0.090000,0,0.000000,1.000000,2.498103
2002-12-30,sh.600522,1.645065,1.653862,1.539500,1.555628,1.645065,3214951,34638632.000000,2,4.592787,1,-5.440000,0,0.000000,1.000000,4.592787
2002-12-31,sh.600522,1.540966,1.570289,1.480852,1.494048,1.555628,1649178,17198665.000000,2,2.355969,1,-3.960000,0,0.000000,1.000000,2.355969
2003-01-02,sh.600522,1.494048,1.513108,1.448596,1.455927,1.494048,2459740,24671441.000000,2,3.513914,1,-2.550000,0,0.000000,1.000000,3.513914
2003-01-03,sh.600522,1.451528,1.483784,1.451528,1.469122,1.455927,1321359,13230074.000000,2,1.887656,1,0.910000,0,0.000000,1.000000,1.887656
2003-01-06,sh.600522,1.469122,1.498446,1.451528,1.491115,1.469122,1401114,14136748.000000,2,2.001591,1,1.500000,0,0.000000,1.000000,2.001591
2003-01-07,sh.600522,1.492581,1.552695,1.477920,1.501379,1.491115,2274277,23595721.000000,2,3.248967,1,0.690000,0,0.000000,1.000000,3.248967
2003-01-08,sh.600522,1.498446,1.562959,1.492581,1.554161,1.501379,2505711,26180329.000000,2,3.579587,1,3.520000,0,0.000000,1.000000,3.579587
2003-01-09,sh.600522,1.561492,1.609877,1.540966,1.589350,1.554161,4382854,47224001.000000,2,6.261220,1,2.260000,0,0.000000,1.000000,6.261220
2003-01-10,sh.600522,1.589350,1.605478,1.549763,1.551229,1.589350,2784984,30034400.000000,2,3.978549,1,-2.400000,0,0.000000,1.000000,3.978549
2003-01-13,sh.600522,1.542432,1.568823,1.536567,1.554161,1.551229,1132107,11984181.000000,2,1.617296,1,0.190000,0,0.000000,1.000000,1.617296
2003-01-14,sh.600522,1.554161,1.700780,1.546830,1.664126,1.554161,5555684,62091263.000000,2,7.936691,1,7.080000,0,0.000000,1.000000,7.936691
