date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST,top10_ratio,decay,modified_turn,score_raw,basket_raw,average-5-periods-return_raw,5-periods-winning_raw,average-10-periods-return_raw,10-periods-winning_raw,average-20-periods-return_raw,20-periods-winning_raw,score_adj,basket_adj,average-5-periods-return_adj,5-periods-winning_adj,average-10-periods-return_adj,10-periods-winning_adj,average-20-periods-return_adj,20-periods-winning_adj
2009-08-21,sz.002281,8.003421,8.943082,7.564715,8.830441,4.742768,27153733,763480589.81,2,84.855416,1,86.18751,0,0.0,1.0,84.855416,,,,,,,,,,,,,,,,
2009-08-24,sz.002281,8.50734,9.598177,8.45102,9.189113,8.830441,20090022,609686274.84,2,62.781319,1,4.0618,0,0.0,1.0,62.781319,-0.12596135843063797,2.0,-0.14548390035033854,false,-0.12967736929560014,false,-0.07354833921402437,false,-0.12596135843063797,2.0,-0.14548390035033854,false,-0.12967736929560014,false,-0.07354833921402437,false
2009-08-25,sz.002281,8.937153,9.02608,8.50734,8.848227,9.189113,10357966,305560010.7,2,32.368644,1,-3.7097,0,0.0,1.0,32.368644,0.002222890692844714,3.0,-0.14874381048316232,false,-0.09648249304634704,false,-0.041206108297176414,false,0.002222890692844714,3.0,-0.14874381048316232,false,-0.09648249304634704,false,-0.041206108297176414,false
2009-08-26,sz.002281,8.863048,9.408466,8.720765,9.100186,8.848227,10487203,319499987.87,2,32.772509,1,2.8476,0,0.0,1.0,32.772509,0.07672131287277399,3.0,-0.15374586849103977,false,-0.08045604782144011,false,-0.06840387658010516,false,0.07672131287277399,3.0,-0.15374586849103977,false,-0.08045604782144011,false,-0.06840387658010516,false
2009-08-27,sz.002281,8.907511,8.981617,8.522161,8.611088,9.100186,8518694,251784248.16,2,26.620919,1,-5.3746,0,0.0,1.0,26.620919,-0.024572969822625204,2.0,-0.08605846322787558,false,-0.040275398416553254,false,0.025473319980007236,true,-0.024572969822625204,2.0,-0.08605846322787558,false,-0.040275398416553254,false,0.025473319980007236,true
2009-08-28,sz.002281,8.448056,8.477698,7.801853,7.828531,8.611088,8152802,222620768.93,2,25.477506,1,-9.0878,0,0.0,1.0,25.477506,-0.48188532348075697,1.0,0.0015145881136575667,true,0.07724348284499372,true,0.06588413586150454,true,-0.48188532348075697,1.0,0.0015145881136575667,true,0.07724348284499372,true,0.06588413586150454,true
2009-08-31,sz.002281,7.647713,8.050849,7.567679,7.852245,7.828531,6198008,163427743.14,2,19.368775,1,0.3029,0,0.0,1.0,19.368775,-0.5783375829316195,0.0,0.0184976398469483,true,0.08871271846459194,true,-0.002264957346593266,false,-0.5783375829316195,0.0,0.0184976398469483,true,0.08871271846459194,true,-0.002264957346593266,false
2009-09-01,sz.002281,7.724783,7.852245,7.35129,7.532108,7.852245,4511237,116165477.85,2,14.097616,1,-4.077,0,0.0,1.0,14.097616,-0.5154970818837957,0.0,0.06139317173890757,true,0.09523814581522205,true,0.035419168179744664,true,-0.5154970818837957,0.0,0.06139317173890757,true,0.09523814581522205,true,0.035419168179744664,true
2009-09-02,sz.002281,7.416503,7.840388,7.386861,7.70107,7.532108,4006202,103387892.72,2,12.519381,1,2.2432,0,0.0,1.0,12.519381,-0.3175116385062171,1.0,0.08660497826925373,true,0.17821393650492734,true,0.05773665217950241,true,-0.3175116385062171,1.0,0.08660497826925373,true,0.17821393650492734,true,0.05773665217950241,true
2009-09-03,sz.002281,7.618071,7.899673,7.532108,7.870031,7.70107,5342870,139921844.77,2,16.696469,1,2.194,0,0.0,1.0,16.696469,-0.2875643116660561,1.0,0.05009408476281729,true,0.14274950124084662,true,0.0399246203731598,true,-0.2875643116660561,1.0,0.05009408476281729,true,0.14274950124084662,true,0.0399246203731598,true
